article_id,technique,start,end,text_spans
111111111,Appeal_to_Authority,265,323,The next transmission could be more pronounced or stronger
111111111,Appeal_to_Authority,1795,1935,"when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw"
111111111,Doubt,149,157,appeared
111111111,Repetition,1069,1091,"a very, very different"
111111111,Appeal_to_fear-prejudice,1334,1462,"He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak"
111111111,Appeal_to_fear-prejudice,1577,1616,but warned that the danger was not over
111111111,Appeal_to_fear-prejudice,1856,1910,the magnitude in the next transmission could be higher
111111111,Appeal_to_fear-prejudice,2023,2086,it could even spill over into neighbouring countries and beyond
111111112,Slogans,191,219,Stop Islamization of America
111111112,Black-and-White_Fallacy,476,556,We condemn all those whose behaviours and views run counter to our shared values
111111112,Slogans,785,798,"Defeat Jihad"""
111111112,Loaded_Language,958,1013,"the nation that gave the world the Magna Carta is dead"""
111111112,Flag-Waving,1456,1535,"The UK should never become a stage for inflammatory speakers who promote hate."""
111111112,"Name_Calling,Labeling",1810,1824,hate preachers
111111112,Loaded_Language,2095,2123,"delighted"" with the decision"
111111112,Loaded_Language,911,942,a striking blow against freedom
111111112,"Name_Calling,Labeling",1738,1787,so-called land of democracy and freedom of speech
111111113,Loaded_Language,1396,1430,hair trigger in single-action mode
111111113,"Name_Calling,Labeling",3082,3099,"sanctuary"" policy"
111111113,"Whataboutism,Straw_Men,Red_Herring",3828,3985,"politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents."""
111111113,Causal_Oversimplification,361,467,pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies
111111113,Causal_Oversimplification,3580,3741,"This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,"""
111111113,Causal_Oversimplification,4865,5006,Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails
111111113,Loaded_Language,5743,5773,a complete travesty of justice
111111113,Slogans,5775,5791,"BUILD THE WALL!"""
111111113,Loaded_Language,259,279,firestorm of outrage
111111113,Loaded_Language,3658,3663,alien
111111113,"Name_Calling,Labeling",5556,5579,The Kate Steinle killer
111111114,Appeal_to_fear-prejudice,1705,1824,they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country
111111115,Loaded_Language,658,700,"aggressively stuck his tongue in my mouth"""
111111115,Loaded_Language,1870,1893,"wet, open-mouthed kiss"""
111111115,Appeal_to_Authority,1655,1745,"Franken's office said he has not ""intentionally engage in"" the ""kind of conduct"" described"
111111115,Loaded_Language,2389,2418,"and squeezed ""at least twice"""
111111117,Causal_Oversimplification,671,753,the delay signaled the White House was having second thoughts about the nomination
111111122,Loaded_Language,24,49,Exploding in Trump’s Face
111111122,"Exaggeration,Minimisation",170,205,the biggest political gift possible
111111122,Loaded_Language,343,356,complete hash
111111122,Doubt,449,477,how badly Trump does his job
111111122,Doubt,888,956,reflected the reality-TV star’s weakness as a presidential candidate
111111122,"Name_Calling,Labeling",902,919,reality-TV star’s
111111122,Doubt,1475,1522,Trump is easily manipulated by those around him
111111122,Loaded_Language,1636,1655,cut-of-his-jib test
111111122,Loaded_Language,3210,3224,severe trouble
111111122,Doubt,3413,3440,Trump hasn’t learned it yet
111111122,"Exaggeration,Minimisation",3489,3519,extremely high-profile episode
111111122,Doubt,3991,4046,Trump and his White House staff failed to do their jobs
111111122,Loaded_Language,4449,4468,a slur on all women
111111122,"Name_Calling,Labeling",5027,5059,a gang that can’t shoot straight
111111122,Loaded_Language,5131,5140,ugly ways
111111122,Appeal_to_Authority,5529,5653,"As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president"
111111122,Loaded_Language,5778,5797,cut-of-his-jib test
111111122,Causal_Oversimplification,5840,5921,someone who hires based on what he thinks someone doing that job should look like
111111122,Loaded_Language,5950,5981,hazy old-time Hollywood casting
111111122,Loaded_Language,6441,6451,bombshells
111111122,"Name_Calling,Labeling",6839,6868,"partisan, conservative judges"
111111123,Loaded_Language,4321,4333,hypocritical
111111124,Loaded_Language,2650,2661,has blasted
111111124,Loaded_Language,4098,4110,are blasting
111111124,"Name_Calling,Labeling",4661,4760,a President who cares about nothing about the country and everything about his narrow self-interest
111111124,"Exaggeration,Minimisation",3368,3380,sheer number
111111124,Loaded_Language,0,17,Agencies scramble
111111124,Loaded_Language,107,122,were scrambling
111111124,Loaded_Language,282,338,has hamstrung the administration for more than 18 months
111111124,"Name_Calling,Labeling",510,540,disgraced former FBI officials
111111124,"Name_Calling,Labeling",2478,2501,fired FBI Special Agent
111111124,Loaded_Language,3557,3590,are touting the president’s order
111111124,Causal_Oversimplification,4170,4377,Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative
111111124,Loaded_Language,4540,4575,a red line that must not be crossed
111111124,Doubt,4622,4760,This is evidently of no consequence to a President who cares about nothing about the country and everything about his narrow self-interest
111111124,"Name_Calling,Labeling",4920,4935,a partisan memo
111111124,"Name_Calling,Labeling",4144,4164,clear abuse of power
111111131,Loaded_Language,84,97,unprecedented
111111131,Loaded_Language,102,109,surreal
111111131,Loaded_Language,180,190,culminated
111111131,Loaded_Language,207,214,fulsome
111111131,Loaded_Language,326,336,triumphant
111111131,Loaded_Language,352,365,extraordinary
111111131,"Name_Calling,Labeling",382,395,rogue kingdom
111111131,"Name_Calling,Labeling",398,413,despotic leader
111111131,Loaded_Language,723,731,dramatic
111111131,"Exaggeration,Minimisation",804,811,forever
111111131,"Name_Calling,Labeling",823,865,"Trump's gut-driven, norm-shattering tenure"
111111131,Black-and-White_Fallacy,1031,1068,People are going to be very impressed
111111131,Loaded_Language,1191,1201,unwavering
111111131,"Name_Calling,Labeling",1977,1992,brutal dictator
111111131,Loaded_Language,2660,2671,unthinkable
111111131,Loaded_Language,2728,2739,acrimonious
111111131,Loaded_Language,2897,2908,big problem
111111131,Loaded_Language,2912,2923,big dilemma
111111131,Slogans,2953,2997,"Working together, we'll get it taken care of"
111111131,Loaded_Language,3396,3416,increasing the drama
111111131,Loaded_Language,3437,3445,historic
111111131,Loaded_Language,3738,3748,surreality
111111131,Loaded_Language,4008,4014,hailed
111111131,Repetition,4030,4038,historic
111111131,"Name_Calling,Labeling",4152,4169,very talented man
111111131,Loaded_Language,4224,4230,brutal
111111131,Loaded_Language,4256,4264,praising
111111131,Repetition,4339,4352,very talented
111111131,Repetition,4531,4546,brutal dictator
111111131,Loaded_Language,4635,4643,striking
111111131,Loaded_Language,4752,4768,fierce criticism
111111131,Loaded_Language,4882,4899,fearsome renegade
111111131,Loaded_Language,5174,5186,"""absolutely"""
111111131,"Exaggeration,Minimisation",5244,5262,heralded a new era
111111131,Repetition,5281,5289,historic
111111131,"Exaggeration,Minimisation",5369,5378,The world
111111131,Flag-Waving,5904,5916,our soldiers
111111131,Repetition,5938,5950,our soldiers
111111131,"Name_Calling,Labeling",6920,6937,commanding leader
111111131,"Exaggeration,Minimisation",6957,6971,world-altering
111111131,"Name_Calling,Labeling",7314,7324,futuristic
111111131,Repetition,7700,7708,dictator
111111132,Loaded_Language,7925,7943,foundation of lies
111111132,Loaded_Language,147,151,huge
111111132,"Name_Calling,Labeling",2262,2272,beneficial
111111132,"Name_Calling,Labeling",2280,2292,a good thing
111111132,Black-and-White_Fallacy,4198,4249,Bypassing the class left her vulnerable to bullying
111111132,Black-and-White_Fallacy,4427,4497,"“You don’t need to be reading this.
You need to be reading the Bible.”"
111111132,Appeal_to_fear-prejudice,4307,4320,going to hell
111111132,Loaded_Language,4779,4787,strongly
111111132,Loaded_Language,7582,7594,pretty clear
